"osasuna","1","0","7","16","14","14"
"barcelona","0","1","8","2","3","3"
"zaragoza","1","1","10","17","18","18"
"levante","0","1","9","20","20","20"
"atletico","1","0","10","4","4","4"
"villarreal","0","0","11","2","2","2"
"almeria","1","0","11","10","10","8"
"valladolid","1","2","0","0","0","0"
"recreativo","0","0","0","0","0","0"
"getafe","1","1","0","0","0","0"
"sevilla","0","0","4","7","4","9"
"barcelona","1","0","8","6","9","15"
"madrid","0","1","10","5","3","3"
"villarreal","1","1","9","2","2","2"
"mallorca","0","0","10","12","11","9"
"osasuna","1","2","11","20","19","16"
"deportivo","0","0","10","9","12","11"
"numancia","1","0","12","18","17","16"
"racing","0","0","16","14","10","15"
"sporting","1","0","16","13","9","14"
"betis","0","1","17","11","8","10"
"valencia","0","0","18","3","3","4"
"atletico","1","0","17","5","6","6"
"athletic","0","1","18","12","14","16"
"almeria","1","1","18","14","16","15"
"malaga","0","0","18","8","8","9"
"valladolid","0","1","18","12","10","9"
"recreativo","1","1","19","15","16","17"
"getafe","0","1","19","13","11","14"
"sevilla","1","0","19","3","3","3"
"barcelona","0","2","20","1","1","1"
"madrid","1","0","19","2","2","2"
"villarreal","0","0","19","4","4","5"
"mallorca","1","1","20","17","16","18"
"osasuna","0","0","20","18","18","18"
"deportivo","1","2","20","7","7","6"
"numancia","0","1","20","19","19","19"
"racing","1","2","20","10","10","10"
"sporting","0","2","19","17","17","13"
"betis","1","2","18","12","10","13"
"valencia","1","2","16","4","4","4"
"atletico","0","0","14","5","6","7"
"athletic","1","2","14","11","11","12"
"almeria","0","2","14","10","9","10"
"malaga","1","2","12","8","8","8"
"athletic","0","0","0","0","0","0"
"madrid","1","0","0","0","0","0"
"deportivo","0","2","0","0","0","0"
"malaga","1","2","14","11","6","2"
"xerez","1","1","9","20","20","19"
"villarreal","0","1","10","19","18","17"
"tenerife","1","2","10","15","13","10"
"sevilla","0","1","8","3","3","3"
"valladolid","1","1","9","14","17","16"
"sporting","0","0","8","7","7","7"
"getafe","1","0","9","12","11","8"
"atletico","0","0","10","18","18","18"
"racing","1","0","11","19","17","17"
"barcelona","0","0","14","1","1","2"
"almeria","1","2","17","16","16","13"
"valencia","0","0","13","4","4","3"
"zaragoza","1","2","16","19","19","18"
"osasuna","0","0","13","14","12","12"
"mallorca","1","1","14","4","6","4"
"athletic","1","2","14","8","7","8"
"madrid","0","0","14","2","2","2"
"deportivo","1","2","14","6","6","5"
"malaga","0","0","12","15","16","15"
"xerez","0","1","15","20","20","20"
"villarreal","1","1","15","8","10","10"
"tenerife","0","0","14","19","19","19"
"sevilla","1","2","14","4","4","4"
"valladolid","0","1","14","18","19","18"
"sporting","1","1","13","12","12","12"
"getafe","0","1","14","9","9","8"
"atletico","1","2","14","10","10","8"
"racing","0","0","14","15","17","16"
"barcelona","1","1","14","1","1","2"
"almeria","0","2","13","12","13","13"
"valencia","1","0","11","3","3","3"
"zaragoza","0","0","11","15","16","16"
"osasuna","1","2","12","11","12","12"
"mallorca","0","0","11","5","5","4"
"getafe","1","2","0","0","0","0"
"villarreal","0","0","0","0","0","0"
"almeria","1","2","0","0","0","0"
"madrid","0","0","7","3","5","9"
"osasuna","1","2","9","12","18","16"
"sociedad","0","0","6","16","13","9"
"mallorca","0","2","8","9","11","16"
"levante","1","2","6","13","17","18"
"deportivo","0","0","5","19","19","20"
"malaga","1","2","5","18","17","14"
"racing","0","1","4","14","12","18"
"hercules","1","2","6","13","17","14"
"atletico","0","2","4","6","7","8"
"sporting","1","2","4","17","17","17"
"athletic","0","0","4","11","10","10"
"barcelona","1","0","4","1","1","1"
"valencia","0","0","5","4","5","5"
"zaragoza","1","2","5","18","20","20"
"sevilla","0","2","5","10","10","11"
"getafe","0","2","5","8","7","7"
"villarreal","1","0","5","3","3","3"
"almeria","0","0","5","19","18","20"
"madrid","1","0","6","2","2","2"
"osasuna","0","0","6","18","14","16"
"sociedad","1","2","6","8","9","10"
"mallorca","1","0","5","11","11","10"
"levante","0","0","5","13","13","17"
"deportivo","1","2","6","13","14","14"
"malaga","0","0","5","20","20","19"
"racing","1","0","5","14","15","14"
"hercules","0","1","7","18","20","19"
"atletico","1","1","8","7","8","8"
"sporting","0","0","8","11","11","13"
"athletic","1","2","8","5","5","6"
"barcelona","0","0","8","1","1","1"
"valencia","1","1","8","3","3","3"
"zaragoza","0","0","8","18","17","15"
"sevilla","1","0","8","7","6","6"
"mallorca","0","0","0","0","0","0"
"athletic","1","2","0","0","0","0"
"zaragoza","0","0","0","0","0","0"
"getafe","1","2","13","17","16","8"
"levante","0","0","10","6","8","12"
"madrid","1","0","10","5","7","5"
"rayo","0","2","15","13","14","11"
"racing","0","2","10","19","18","18"
"betis","1","2","8","7","7","7"
"malaga","0","0","6","7","6","6"
"villarreal","1","1","7","13","18","16"
"sociedad","0","1","7","20","16","15"
"osasuna","1","0","8","11","10","8"
"valencia","0","0","9","3","3","3"
"atletico","1","2","10","8","11","9"
"sporting","0","2","8","18","19","18"
"barcelona","1","1","8","2","2","2"
"sevilla","0","1","8","7","6","5"
"granada","1","2","9","17","15","13"
"mallorca","1","2","5","14","16","14"
"athletic","0","1","5","6","7","5"
"zaragoza","1","0","5","20","20","20"
"getafe","0","1","5","12","10","9"
"levante","1","0","4","7","4","4"
"madrid","0","0","8","1","1","1"
"rayo","1","2","11","8","11","8"
"racing","1","2","9","18","18","18"
"betis","0","1","6","16","15","12"
"malaga","1","0","6","5","5","4"
"villarreal","0","1","7","16","17","17"
"sociedad","1","1","9","14","14","14"
